id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1
684,0.095,-0.445,5.214764137,26.2,0,2.834697218,-19.71830986,Conifères,0.8242159294,0.003832026713,0.9323831138,2006,25,231
323,0.132,0.123,1.960848031,8,858.627938,8.707326429,-13.33333333,Conifères,0.6931471808,8.35E-12,1,1971,20,208
324,0.119,-0.172,3.365342417,1.8,458.7783811,9.483818107,-16.92307692,Conifères,0.6931471808,8.35E-12,1.000000568,2002,24,276
601,0.405,2.244,11.14905356,21,1204.795398,7.705263158,-15.38461538,Conifères,0.6931471807,8.35E-12,1.000016308,1937,22,242
327,0.386,21.299,6.629167549,74,196.1489662,3.936517815,-16.90140845,Conifères,0.6931471808,8.35E-12,1.000001604,2005,20,327
328,0.415,2.276,4.18111497,16.4,19.20747188,3.021289919,-15.49295775,Conifères,0.6931471808,8.35E-12,0.9999950043,2008,12,317
343,0.341,4.107,5.781760252,6,208.9543899,-1.742900867,-16,Conifères,0.6931471808,8.35E-12,1.000004135,1921,11,242
498,0.628,10.113,13.97297464,0,0,0.9994874423,-14.1025641,Conifères,0.6931471808,8.35E-12,1.000010668,1921,14,258
572,0.104,2.455,5.674337645,200.8,0,8.806530848,-10.86956522,Conifères,0.6915637683,8.35E-12,8.35E-12,1519,29,211
339,0.099,0.26,4.911844215,18.4,7.604610128,3.891385998,-14.63414634,Conifères,6.64E-10,8.35E-12,8.35E-12,1792,20,182
626,0.166,1.237,2.258149666,-0.8,0,16.22936859,-18.46153846,Conifères,0.6931471808,8.35E-12,1.000001453,1977,24,185
546,0.258,2.655,8.981631291,9.2,614.6011432,-3.261136085,-9.523809524,Conifères,0.6931471808,8.35E-12,1.000002422,1842,25,302
508,0.368,1.483,5.09613874,1,0,1.882409484,-14.28571429,Conifères,0.8969384817,0.8585696261,0.1414480932,1872,31,87
347,0.126,0.833,9.03644396,160,0,4.548059017,-16.41791045,Conifères,0.6931471808,8.35E-12,1.000000008,2157,25,265
608,0.077,-0.406,7.213687967,0.2,0,6.045558446,-14.28571429,Conifères,0.6931471808,0.9999989474,8.35E-12,1804,19,310
346,0.15,-0.262,0.6397447716,-1,0,0.7401448109,-15.06849315,Conifères,0.6931471808,8.35E-12,0.9999995573,1945,23,246
281,0.216,0.67,13.49190325,13,0,31.88141769,-11.11111111,Conifères,0.1022769155,0.02155130554,8.35E-12,1786,28,120
692,0.31,0.504,14.00056386,-22,0,35.0434492,-12.35955056,Conifères,0.546830936,8.35E-12,8.35E-12,1804,31,155
