id,DIAC1_2,DIAC1_3,DIAC4_1,DIAC5_1,ANT2_1,CLIM1_3,CLIM2_5,TFV_G11_GROUP,LITH1_1,LITH2_2,LITH4_2,DEM1_1,DEM2_4,DEM4_1,geometry,,,,,,,,,
376,0.134,1.65,2.583144529,0.6,96.04283325,5.215164574,-22.3880597,Conifères,0.6931471808,8.35E-12,0.9999975188,2189,30,126,list(c(618762.61672153,618877.1433,618385.2657,618270.739,618762.6167,6176852.715,6176688.761,6176345.17,6176509.123,6176852.71477503))
374,0.149,0.258,3.122677399,26.2,0,6.00024667,-21.42857143,Conifères,1.011933374,0.007742638309,0.7102918192,1981,29,127,list(c(615548.428679606,615551.658,616151.5819,616148.3525,615548.4287,6177490.802,6177690.788,6177681.102,6177481.116,6177490.8021212))
375,0.052,-0.503,8.458694401,124.6,36.2292449,2.783993682,-19.71830986,Conifères,0.7721476223,0.03691134523,0.9630874267,2018,28,281,list(c(616148.031998637,616319.3451,616628.9504,616457.6373,616148.032,6177370.322,6177473.522,6176959.573,6176856.373,6177370.32188503))
325,0.072,0.195,1.374258461,11.4,58.8365671,8.839359647,-16.92307692,Conifères,0.8547202242,0.09888937368,0.8917615257,2005,21,205,list(c(595457.97815514,595652.7689,595788.8174,595594.0266,595457.9782,6177292.904,6177338.254,6176753.882,6176708.532,6177292.90438196))
496,0.241,4.975,3.613849345,23,0,5.523590334,-14.1025641,Conifères,1.039089501,0.5251279797,0.4748740837,1882,17,241,list(c(595598.699048045,595746.3038,595341.4391,595193.8343,595598.699,6177972.441,6177837.486,6177394.672,6177529.627,6177972.44094941))
600,0.126,-0.26,10.23243466,-2,909.3338434,8.211904174,-17.54385965,Conifères,0.6931471808,8.35E-12,0.9999998329,2086,29,187,list(c(585907.512841234,585707.5261,585707.2183,585907.205,585907.5128,6177868.907,6177868.809,6178468.804,6178468.902,6177868.90695431))
499,0.276,10.92,4.399408625,8.8,123.5625845,0.1868247908,-15.27777778,Conifères,0.6931471808,8.35E-12,1.000001846,1836,22,101,list(c(598287.6763025,598250.4793,598840.0099,598877.207,598287.6763,6177762.533,6177959.04,6178070.632,6177874.125,6177762.53255888))
503,0.231,1.136,3.096453367,60,150.5160749,3.048320911,-14.1025641,Conifères,0.6931471808,8.35E-12,1.000001988,1913,27,106,list(c(598331.568722178,598294.3717,598883.9023,598921.0994,598331.5687,6176879.77,6177076.277,6177187.87,6176991.363,6176879.77027178))
497,0.233,1.075,5.182137554,2,0,3.593253483,-14.66666667,Conifères,0.6931471808,8.35E-12,1.000001687,1930,15,47,list(c(595539.077997999,595340.1987,595403.6278,595602.5071,595539.078,6178263.359,6178284.502,6178881.14,6178859.997,6178263.35891859))
501,0.241,5.438,6.837131105,3,202.198079,-3.983818486,-14.47368421,Conifères,0.6931471807,8.35E-12,0.999981413,1828,22,78,list(c(599337.000239568,599423.8126,598883.2852,598796.4729,599337.0002,6179245.649,6179065.476,6178805.036,6178985.208,6179245.64927246))
588,0.403,14.256,2.284751158,164.4,0,29.38352555,-11.11111111,Conifères,6.64E-10,8.35E-12,8.35E-12,1531,27,171,list(c(571407.697169462,571244.7049,570896.959,571059.9513,571407.6972,6181170.414,6181054.494,6181543.446,6181659.367,6181170.41430189))
530,0.191,1.708,4.0364753,15.4,0,-6.190125276,-16.86746988,Conifères,0.6606761155,8.35E-12,0.5955981354,1782,22,144,list(c(617365.407154614,617478.3439,617973.5573,617860.6205,617365.4072,6181614.929,6181780.017,6181441.242,6181276.155,6181614.92877079))
583,0.122,0.306,1.265269398,69.4,382.4110182,32.50792692,-13.69863014,Conifères,0.6931471808,8.35E-12,8.35E-12,1740,31,70,list(c(572111.802715615,572286.8011,571996.3456,571821.3471,572111.8027,6189037.419,6188940.603,6188415.594,6188512.41,6189037.41858376))
399,0.079,1.142,6.287778919,33.4,306.1999042,-8.646472393,-10,Conifères,0.250364643,0.07381272748,8.35E-12,1774,36,84,list(c(534315.958165606,534138.0558,534412.2095,534590.1119,534315.9582,6191578.427,6191669.812,6192203.516,6192112.131,6191578.42666671))
234,0.298,4.053,4.127890978,102.6,0,6.945703222,-11.11111111,Conifères,0.8466960906,0.09081396475,8.35E-12,1486,23,174,list(c(526636.234276685,526836.2371,526836.2471,526636.2442,526636.2343,6198133.487,6198133.491,6197533.49,6197533.487,6198133.48742719))
24,0.154,8.205,8.151541833,-18.2,0,16.80752367,-18.42105263,Mixte,0.906264992,0.6390681597,8.36E-12,1912,24,265,list(c(615008.866254811,615176.2536,615504.6077,615337.2203,615008.8663,6171695.244,6171804.692,6171302.515,6171193.066,6171695.24388063))
296,0.239,2.175,1.916861671,143.2,278.4286449,1.90011331,-12.82051282,Mixte,0.6931471808,8.35E-12,1.000000209,1734,28,253,list(c(584651.903245042,584851.8881,584851.916,584651.9311,584651.9032,6182874.994,6182875.004,6182275.006,6182274.997,6182874.99403845))
587,0.089,0.772,4.816702177,151,0,37.00986592,-15.625,Mixte,0.6831257375,8.35E-12,8.35E-12,1707,38,165,list(c(572263.841705408,572065.6636,571984.639,572182.8171,572263.8417,6182728.87,6182701.861,6183296.367,6183323.376,6182728.86995416))
291,0.423,2.118,4.758203561,104.6,0,24.78612537,-11.36363636,Mixte,0.3493371736,0.1253076748,8.35E-12,1492,29,113,list(c(578935.629074208,579115.7881,578855.205,578675.046,578935.6291,6184553.004,6184466.142,6183925.68,6184012.541,6184553.00358698))
278,0.178,1.552,4.892770554,-19.8,0,18.63329621,-8.943089431,Mixte,0.3145660111,8.35E-12,8.35E-12,1525,34,175,list(c(572048.791356625,572248.7914,572248.7914,572048.7914,572048.7914,6188268.618,6188268.618,6187668.618,6187668.618,6188268.61794855))
229,0.107,0.985,4.851687412,33,0,14.49576712,-10.71428571,Mixte,0.6876470227,8.35E-12,8.35E-12,1429,26,282,list(c(526469.807674269,526669.8057,526669.8126,526469.8146,526469.8077,6200495.297,6200495.299,6199895.3,6199895.297,6200495.29694592))
237,0.14,1.969,1.153511699,41.6,233.9984308,7.237098915,-10.22727273,Mixte,0.6931471808,8.35E-12,8.35E-12,1619,27,68,list(c(526500.852376772,526527.5109,525932.862,525906.2035,526500.8524,6196256.627,6196058.409,6195978.443,6196176.661,6196256.62737195))
536,0.259,3.2,1.305558953,180.2,137.3159975,7.043225015,-11.36363636,Mixte,0.6931471808,8.35E-12,8.35E-12,1731,30,54,list(c(526279.66529034,526424.5997,526011.1303,525866.1959,526279.6653,6195840.538,6195702.716,6195267.923,6195405.745,6195840.53811159))
350,0.415,19.458,14.40306431,-12.8,104.1935672,13.55459615,-8.108108108,Feuillus,1.032362559,0.4144296267,0.5855728885,1659,35,124,list(c(601087.029368334,601196.4109,601698.6872,601589.3056,601087.0294,6167162.513,6167329.947,6167001.786,6166834.352,6167162.51290266))
352,0.472,17.25,7.640198678,-112.6,0,14.00105801,-8.571428571,Feuillus,1.027896619,0.3916927445,0.6083049324,1711,38,129,list(c(600824.158758155,600942.7514,601425.85,601307.2573,600824.1588,6166934.86,6167095.879,6166740.062,6166579.043,6166934.85991491))
514,0.285,1.168,10.90150223,93.8,671.9598678,13.14667425,-13.33333333,Feuillus,0.7474382385,0.02275674127,0.9772445705,1740,34,117,list(c(602103.109339841,602186.7986,602731.7364,602648.0472,602103.1093,6170649.145,6170830.783,6170579.703,6170398.065,6170649.14469215))
695,0.299,1.901,9.746590737,40.6,305.8113943,13.74197129,-10.41666667,Feuillus,0.7002718123,0.001971393178,0.9980330186,1764,35,148,list(c(601556.086705635,601659.0684,602173.4052,602070.4235,601556.0867,6168751.175,6168922.613,6168613.654,6168442.215,6168751.17469013))
515,0.437,2.772,1.819618514,110.6,0,7.166562023,-8.849557522,Feuillus,1.039248007,0.5217256008,0.4782712657,1379,26,262,list(c(605588.495337761,605581.2065,606180.8028,606188.0917,605588.4953,6172902.149,6173101.986,6173123.853,6172924.016,6172902.14851394))
683,0.226,0.758,6.246246642,26,52.35048781,8.387953207,-13.95348837,Feuillus,1.006326072,0.3193228376,0.680674422,1922,22,269,list(c(616444.653727776,616578.9587,617023.535,616889.23,616444.6537,6174021.907,6174170.095,6173767.167,6173618.979,6174021.90676894))
681,0.154,0.986,3.238619812,38.4,1281.270834,1.844470496,-19.17808219,Feuillus,1.087441591,0.4858580475,0.490517046,1808,27,240,list(c(613166.923407625,612970.1889,612862.2273,613058.9618,613166.9234,6174285.483,6174249.498,6174839.703,6174875.689,6174285.48311568))
348,0.094,0.138,4.879611419,-8,0,7.631667226,-10.98901099,Feuillus,0.6931471808,8.35E-12,8.35E-12,1650,32,149,list(c(602309.312034674,602458.164,602858.9008,602710.0488,602309.312,6173672.386,6173805.966,6173359.412,6173225.833,6173672.386426))
349,0.11,0.481,1.692459368,11,0,8.5039108,-10.86956522,Feuillus,0.6931471808,8.35E-12,8.35E-12,1655,27,115,list(c(601870.945775162,601962.7364,602495.8044,602404.0137,601870.9458,6173090.483,6173268.164,6172992.78,6172815.098,6173090.48279688))
505,0.236,0.7,5.225365299,4,232.0213685,5.892108939,-10.30927835,Feuillus,0.6931471808,0.9999943943,8.35E-12,1371,36,104,list(c(603476.371566818,603440.107,604030.1615,604066.426,603476.3716,6174150.18,6174346.865,6174455.659,6174258.973,6174150.17967331))
506,0.212,0.632,12.60849343,218.6,527.1597997,5.945521215,-10.30927835,Feuillus,0.6931471808,0.9999989474,8.35E-12,1695,39,96,list(c(603049.66133702,603013.3968,603603.4512,603639.7158,603049.6613,6174361.318,6174558.004,6174666.797,6174470.111,6174361.31793011))
511,0.18,0.31,1.042078585,-0.6,0,9.23553546,-10.41666667,Feuillus,0.7614194683,0.03051984109,0.9694800085,1631,38,112,list(c(602700.524486507,602740.4128,603328.3558,603288.4675,602700.5245,6171914.375,6172110.347,6171990.676,6171794.704,6171914.37472179))
609,0.395,4.038,4.187712537,22.8,49.86068886,10.27081798,-7.857142857,Feuillus,1.039611504,0.5103245088,8.35E-12,1240,29,113,list(c(603573.512038432,603586.5571,604185.2796,604172.2346,603573.512,6173916.44,6174116.015,6174076.88,6173877.305,6173916.43966539))
694,0.291,1.076,5.277495055,2,21.41872069,6.788624935,-10.30927835,Feuillus,0.8689405273,0.1124400615,8.35E-12,1369,31,141,list(c(603343.841267127,603543.8385,603540.1321,603340.1349,603343.8413,6174056.539,6174055.304,6173455.315,6173456.551,6174056.53939257))
517,0.026,0.021,8.567766002,100.8,67.33234344,-2.411190871,-12.90322581,Feuillus,0.6931405577,8.35E-12,0.9927473669,1817,33,257,list(c(608670.030863474,608675.6118,608075.8469,608070.2659,608670.0309,6174395.668,6174195.748,6174179,6174378.921,6174395.66827185))
518,0.14,0.775,6.597232444,211.6,44.15561381,-4.273049645,-13.95348837,Feuillus,1.036119883,8.35E-12,0.5599318327,1962,33,286,list(c(608791.879663198,608727.6128,608159.4336,608223.7004,608791.8797,6174883.541,6174694.15,6174886.947,6175076.339,6174883.5411872))
519,0.163,0.406,6.954008373,39.2,149.3276874,-4.878483041,-13.95348837,Feuillus,0.7700510793,8.35E-12,0.0356329305,1980,27,254,list(c(609018.140305718,608953.8734,608385.6942,608449.9611,609018.1403,6175304.371,6175114.98,6175307.777,6175497.169,6175304.37145152))
504,0.22,0.831,5.521392929,58.4,454.9803259,4.134431412,-12.65822785,Feuillus,1.018449671,0.644806153,0.3551970884,1628,23,148,list(c(598537.828823339,598593.4506,599169.7789,599114.1571,598537.8288,6176190.604,6176382.711,6176215.842,6176023.736,6176190.60435181))
606,0.552,4.571,6.921725741,28,195.8882933,10.45183714,-11.49425287,Feuillus,0.6931471807,8.35E-12,0.9999837341,1861,38,95,list(c(593073.564253581,593219.3821,592808.7463,592662.9285,593073.5643,6176594.921,6176458.046,6176020.58,6176157.454,6176594.92052859))
306,0.19,1.277,7.420611957,75,330.4986829,10.81159843,-13.51351351,Feuillus,0.6931471808,8.35E-12,1.000002147,1797,31,112,list(c(591623.659861819,591818.665,591685.4104,591490.4052,591623.6599,6177869.244,6177824.826,6177239.81,6177284.229,6177869.24408024))
696,0.177,0.945,9.827600461,17.6,386.9668797,-0.5616005616,-14.77272727,Feuillus,6.64E-10,8.35E-12,8.35E-12,1826,28,278,list(c(614451.341099916,614490.7268,613902.4745,613863.0888,614451.3411,6180172.655,6179976.566,6179858.412,6180054.501,6180172.65530892))
465,0.263,1.462,3.290246469,20.6,646.276833,25.92592593,-20,Feuillus,0.5798597745,8.35E-12,8.35E-12,1856,44,69,list(c(572012.480072908,572139.4505,571675.8732,571548.9027,572012.4801,6178920.068,6178765.544,6178384.63,6178539.154,6178920.06842406))
482,0.383,1.471,6.846119176,47.4,0,13.95846913,-10.81081081,Feuillus,0.6789727129,8.35E-12,8.35E-12,1392,28,296,list(c(584373.941360612,584224.3886,583826.0088,583975.5616,584373.9414,6185281.189,6185148.396,6185597.053,6185729.847,6185281.18918715))
455,0.217,2.915,1.719356758,85.4,0,9.857173011,-9.917355372,Feuillus,0.6931471808,8.35E-12,8.35E-12,1385,26,243,list(c(560129.208028687,560208.3779,560759.3633,560680.1935,560129.208,6186319.471,6186503.128,6186265.612,6186081.955,6186319.47128939))
15,0.441,3.273,4.092348892,192.4,0,2.010347376,-9.708737864,Feuillus,0.9224880144,0.8282280856,8.35E-12,1478,28,243,list(c(576905.456745661,576950.4767,576365.8757,576320.8557,576905.4567,6181120.787,6180925.922,6180790.861,6180985.727,6181120.78734447))
287,0.387,1.603,10.53960489,95,0,1.859337106,-9.708737864,Feuillus,1.039613919,0.5103364723,8.35E-12,1445,31,248,list(c(576935.812328195,576990.5693,576413.4952,576358.7382,576935.8123,6180876.251,6180683.894,6180519.622,6180711.979,6180876.25109416))
468,0.209,0.918,2.385317274,25,364.7158999,10.38153062,-10.75268817,Feuillus,0.6931471808,8.35E-12,8.35E-12,1609,48,82,list(c(575638.582094601,575813.5165,575522.6941,575347.7597,575638.5821,6180737.53,6180640.59,6180115.783,6180212.723,6180737.52983304))
469,0.16,1.278,11.50976685,180.2,0,3.14778985,-9.615384615,Feuillus,0.03486554758,8.35E-12,8.35E-12,1579,33,243,list(c(576797.700918485,576842.7209,576258.1199,576213.0999,576797.7009,6181687.328,6181492.462,6181357.401,6181552.267,6181687.32768186))
472,0.305,3.093,4.66163572,160.4,12.1726512,25.0244858,-10.28037383,Feuillus,0.08040615894,8.35E-12,8.35E-12,1707,31,48,list(c(577478.887581122,577643.3014,577301.6739,577137.2601,577478.8876,6183059.913,6182946.038,6182452.793,6182566.668,6183059.91291351))
456,0.179,1.101,1.556192238,-4.4,0,15.0282841,-11.2244898,Feuillus,0.6910793553,8.35E-12,0.8791926187,1558,35,302,list(c(563097.989711021,563243.7701,563654.5173,563508.7369,563097.9897,6186442.519,6186579.429,6186142.068,6186005.158,6186442.51895198))
302,0.347,4.819,5.580882424,10.8,0,-1.342986046,-10.57692308,Feuillus,0.6931471808,8.35E-12,1.00000604,1630,25,154,list(c(587433.212451056,587611.7243,587882.2229,587703.7111,587433.2125,6182064.97,6182155.127,6181619.567,6181529.41,6182064.97033288))
